model_size,corpus_type,level,seed,bin,n_facts,frac_stored
L,RAW,RAW,2,5-8,43414,0.14834847926720068
L,RAW,RAW,2,9-16,28145,0.4285709242177785
L,RAW,RAW,2,17-32,17892,0.7948598164507881
L,RAW,RAW,2,33-64,11468,0.9482211541081705
L,RAW,RAW,2,65-128,7182,0.9884776638862782
L,RAW,RAW,2,129-256,4542,0.9990953573934941
L,RAW,RAW,2,>=257,6756,0.999755859375
M,CURATED,100,1,1,77122,0.00028748459218835094
M,CURATED,100,1,2,106561,0.000872590636906326
M,CURATED,100,1,3-4,199049,0.001700104259425443
M,CURATED,100,1,5-8,206449,0.005021082262977176
M,CURATED,100,1,9-16,139693,0.018468321703105202
M,CURATED,100,1,17-32,89000,0.09277833128511236
M,CURATED,100,1,33-64,56375,0.42244322079406876
M,CURATED,100,1,65-128,35757,0.9015932618416499
M,CURATED,100,1,129-256,52396,0.998725246351105
M,CURATED,100,1,>=257,7603,0.999755859375
M,CURATED,100,2,1,77271,0.00027351800501643566
M,CURATED,100,2,2,106161,0.0008767983262156064
M,CURATED,100,2,3-4,199133,0.0014984133464663065
M,CURATED,100,2,5-8,206872,0.0050489874928699875
M,CURATED,100,2,9-16,139372,0.01760736469888141
M,CURATED,100,2,17-32,88901,0.09095843302434027
M,CURATED,100,2,33-64,56446,0.41344327743828174
M,CURATED,100,2,65-128,35835,0.8965048477941433
M,CURATED,100,2,129-256,52384,0.9989731776401192
M,CURATED,100,2,>=257,7493,0.9996224014809656
M,CURATED,1000,1,1,223799,0.0003322694572613148
M,CURATED,1000,1,2,147203,0.0009922472203564125
M,CURATED,1000,1,3-4,141009,0.002046493306167514
M,CURATED,1000,1,5-8,98802,0.00524157828757262
M,CURATED,1000,1,9-16,63587,0.02115960542372065
M,CURATED,1000,1,17-32,40800,0.10612840839460784
M,CURATED,1000,1,33-64,25913,0.48866104210181666
M,CURATED,1000,1,65-128,16318,0.9214374379998315
M,CURATED,1000,1,129-256,10272,0.9872948001849688
M,CURATED,1000,1,>=257,16574,0.9990318337927627
M,CURATED,1000,2,1,224541,0.00021902645807168848
M,CURATED,1000,2,2,146281,0.000733429941238951
M,CURATED,1000,2,3-4,140808,0.0017372808851414691
M,CURATED,1000,2,5-8,99151,0.0049802141470144026
M,CURATED,1000,2,9-16,64027,0.02030968822845245
