corpus,seed,docs,i_eff,bits_stored,facts_stored
EQ4_n16,2,86272,1001844.0,55.4091796875,4.617431640625
EQ4_n16,2,146304,1662096.0,134.21484375,11.1845703125
EQ4_n16,2,248064,2713188.0,57.6005859375,4.800048828125
EQ4_n16,2,420608,4305648.0,52.81640625,4.4013671875
EQ4_n16,2,713216,6526032.0,122.73046875,10.2275390625
EQ4_n16,2,1209472,9153816.0,45.181640625,3.76513671875
EQ4_n16,2,2050944,11325540.0,282.9755859375,23.581298828125
EQ4_n16,2,3477760,11996436.0,383.1826171875,31.931884765625
EQ4_n16,2,4000000,12000000.0,142.3125,11.859375
EQ4_n16,3,29952,355176.0,81.287109375,6.77392578125
EQ4_n16,3,50816,597732.0,130.0693359375,10.839111328125
EQ4_n16,3,86272,1001808.0,139.41796875,11.6181640625
EQ4_n16,3,146304,1661292.0,86.4111328125,7.200927734375
EQ4_n16,3,248064,2710524.0,106.2509765625,8.854248046875
EQ4_n16,3,420608,4309092.0,267.9755859375,22.331298828125
EQ4_n16,3,713216,6533376.0,300.9375,25.078125
EQ4_n16,3,1209472,9156084.0,164.6279296875,13.718994140625
EQ4_n16,3,2050944,11321928.0,487.857421875,40.65478515625
EQ4_n16,3,3477760,11996748.0,407.1064453125,33.925537109375
EQ4_n16,3,4000000,12000000.0,310.3125,25.859375
Z05_n0,1,29952,16236.0,1220.0361328125,101.669677734375
Z05_n0,1,50816,22896.0,2466.41015625,205.5341796875
Z05_n0,1,86272,32508.0,3916.0634765625,326.338623046875
Z05_n0,1,146304,46548.0,5640.6357421875,470.052978515625
Z05_n0,1,248064,65700.0,7747.9599609375,645.663330078125
Z05_n0,1,420608,93000.0,10921.294921875,910.10791015625
Z05_n0,1,713216,129072.0,16060.48828125,1338.3740234375
Z05_n0,1,1209472,181908.0,21363.5888671875,1780.299072265625
Z05_n0,1,2050944,255096.0,27117.720703125,2259.81005859375
Z05_n0,1,3477760,357600.0,32972.6953125,2747.724609375
Z05_n0,1,5897216,500544.0,39753.796875,3312.81640625
Z05_n0,1,10000000,696276.0,41962.0107421875,3496.834228515625
Z05_n0,2,29952,15516.0,1352.2119140625,112.684326171875
Z05_n0,2,50816,22200.0,2514.580078125,209.54833984375
Z05_n0,2,86272,32064.0,3772.171875,314.34765625
Z05_n0,2,146304,45924.0,5436.7880859375,453.065673828125
Z05_n0,2,248064,65472.0,8192.015625,682.66796875
Z05_n0,2,420608,91728.0,10909.60546875,909.1337890625
Z05_n0,2,713216,129960.0,16024.271484375,1335.35595703125
Z05_n0,2,1209472,181536.0,21699.6796875,1808.306640625
Z05_n0,2,2050944,254076.0,27801.9697265625,2316.830810546875
Z05_n0,2,3477760,355080.0,31533.310546875,2627.77587890625
Z05_n0,2,5897216,498372.0,39838.3271484375,3319.860595703125
Z05_n0,2,10000000,696864.0,43293.8671875,3607.822265625
Z05_n0,3,29952,16080.0,1400.07421875,116.6728515625
Z05_n0,3,50816,22368.0,2394.5390625,199.544921875
Z05_n0,3,86272,32088.0,3892.166015625,324.34716796875
Z05_n0,3,146304,45660.0,5556.8525390625,463.071044921875
Z05_n0,3,248064,64764.0,7808.1884765625,650.682373046875
Z05_n0,3,420608,90684.0,11041.8603515625,920.155029296875
Z05_n0,3,713216,128112.0,16024.72265625,1335.3935546875
Z05_n0,3,1209472,181884.0,21915.5947265625,1826.299560546875
Z05_n0,3,2050944,254352.0,27129.90234375,2260.8251953125
Z05_n0,3,3477760,356052.0,31449.0732421875,2620.756103515625
Z05_n0,3,5897216,499092.0,38758.1513671875,3229.845947265625
Z05_n0,3,10000000,695088.0,43306.30078125,3608.8583984375
Z05_n64,1,29952,16320.0,752.015625,62.66796875
Z05_n64,1,50816,23040.0,1470.375,122.53125
Z05_n64,1,86272,32712.0,2824.013671875,235.33447265625
Z05_n64,1,146304,46224.0,4320.71484375,360.0595703125
Z05_n64,1,248064,64368.0,6308.28515625,525.6904296875
Z05_n64,1,420608,91284.0,9097.7138671875,758.142822265625
Z05_n64,1,713216,129144.0,12700.470703125,1058.37255859375
Z05_n64,1,1209472,182784.0,19491.375,1624.28125
Z05_n64,1,2050944,255780.0,21837.5537109375,1819.796142578125
Z05_n64,1,3477760,359052.0,30848.3408203125,2570.695068359375
Z05_n64,1,5897216,501624.0,37473.533203125,3122.79443359375
Z05_n64,1,10000000,696240.0,39526.01953125,3293.8349609375
Z05_n64,2,29952,16440.0,823.986328125,68.66552734375
Z05_n64,2,50816,23268.0,1278.3193359375,106.526611328125
Z05_n64,2,86272,33072.0,2535.92578125,211.3271484375
Z05_n64,2,146304,46476.0,3708.6533203125,309.054443359375
Z05_n64,2,248064,64716.0,6212.2001953125,517.683349609375
Z05_n64,2,420608,91572.0,9145.6435546875,762.136962890625
Z05_n64,2,713216,129084.0,13468.4853515625,1122.373779296875
Z05_n64,2,1209472,181200.0,19431.76171875,1619.3134765625
Z05_n64,2,2050944,252900.0,21934.2568359375,1827.854736328125
