corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot,budget_mult,run
CURATEDF,0.5,0,4,0.0003,11025408,132815653,967234,11606808,2.279651774486131,,299451.85888671875,3593422.306640625,3554138.8297440205,0.00015,1.9384745359420776,961.9967300891876,51a86202db31,2499d58d2207,2.344182220070618,12.99558981742859,0.3098402248059931,1,L,31524864,34350080,0.1139869249440893,0.104611759467245,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.91149,2.002781991278753,base,0.1,constant,0,0.005,0.0035,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,24903040,300000974,996588,11959056,1.1734773107935186,,346659.6923828125,4159916.30859375,4233889.8371302765,0.0,1.863434672355652,2130.91563987732,51a86202db31,2499d58d2207,1.2003717078936262,12.956935650903848,0.3480906854186484,1,L,31524864,34350080,0.1319566773894329,0.121103540620393,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.962395,0.8669492540201172,base,0.1,constant,0,0.001,0.0005,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,5,0.0003,83072,1001318,29087,349044,8.46453469257407,,1090.898681640625,13090.7841796875,26436.322352218915,5e-05,2.0958588123321533,8.906042337417603,51a86202db31,83dfcee2a238,8.552842574379891,12.713964619159698,0.0377488224980231,1,L,31524864,34350080,0.0004152526773688,0.0003810990885519,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.284695,3.757648749411106,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,187520,2259386,49404,592848,5.00204283197968,,5065.9384765625,60791.26171875,94664.9173760767,0.00025,1.7799299955368042,20.874246835708615,51a86202db31,83dfcee2a238,5.057723262038404,12.693604024589062,0.1027851995789814,1,L,31524864,34350080,0.0019283592062046,0.0017697560447821,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.578155,0.093929922430776,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,423552,5102320,159301,1911612,10.937952418851852,,924.108154296875,11089.2978515625,37815.63326426983,5e-05,2.400898694992065,46.44032382965088,51a86202db31,83dfcee2a238,10.99724610909462,12.2044098133564,0.0060451597918406,1,L,31524864,34350080,0.000351763542947,0.0003228317911213,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.107295,10.137072618484495,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,956928,11525013,408763,4905156,11.03582984859705,,1474.204345703125,17690.4521484375,103334.7306279528,0.0005,2.4092304706573486,103.32656526565552,51a86202db31,83dfcee2a238,11.097611125938892,12.21304319396019,0.0038506420590904,1,L,31524864,34350080,0.0005611587142275,0.0005150046855331,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.045625,10.494866748332978,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,2161152,26032060,650762,7809144,9.314437379715445,,37173.12255859375,446077.470703125,641121.6150036169,0.0001,2.31866717338562,224.637686252594,51a86202db31,83dfcee2a238,9.433849362042844,12.441141655302047,0.0573665948534179,1,L,31524864,34350080,0.0141500204633119,0.0129862134441353,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.23249,8.779922705411911,base,0.1,constant,0,0.0005,0.0005,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,4881152,58800020,844881,10138572,5.3709307289335415,,179546.73022460938,2154560.7626953125,2126907.6809533644,0.00045,2.144641876220703,470.9535048007965,51a86202db31,83dfcee2a238,5.464531963602924,12.714052402424812,0.2127554057908746,1,L,31524864,34350080,0.0683448075365309,0.0627236024689116,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.654655,5.0370200657472015,base,0.1,constant,0,0.9915,0.988,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,11025024,132815941,967418,11609016,2.177374195113671,,304767.8139648437,3657213.767578125,3593881.631690033,0.0002,1.9678239822387693,1010.2196600437164,51a86202db31,83dfcee2a238,2.230693967541792,12.984550325369836,0.3152763334980329,1,L,31524864,34350080,0.1160104534496366,0.1064688573528249,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.91637,1.8114436128288507,base,0.1,constant,0,0.004,0.002,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,5,0.0003,24903040,300000368,996546,11958552,1.0145400521358705,,347751.70263671875,4173020.431640625,4346134.484326918,0.0,1.8981484174728396,2187.1590399742126,51a86202db31,83dfcee2a238,1.043844812678601,13.073230586648808,0.3492011407401164,1,L,31524864,34350080,0.1323723531889186,0.1214850280302294,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.96206,0.6845866893902421,base,0.1,constant,0,0.001,0.0,1,CURATEDF_seed5_L_base
CURATEDF,0.5,0,1,0.0003,83072,1001257,29307,351684,8.504069926141874,,1084.844970703125,13018.1396484375,26387.968861746525,0.0005,2.205995321273804,7.995917797088623,51a86202db31,1bf1b9266f73,8.587798038456887,12.665883305811882,0.0372607226942368,1,L,31524864,34350080,0.0004129483206791,0.000378984259962,,,,,,,,300000000,,CURATED,8,1e-15,998000.0,0.28171,3.923321390271187,base,0.1,constant,0,0.0005,0.001,1,CURATEDF_seed1_L_base_8
CURATEDF,0.5,0,1,0.0003,187520,2259419,49553,594636,5.006291673408146,,5083.902099609375,61006.8251953125,94742.38310333004,0.0003,1.8049899339675903,18.02552628517151,51a86202db31,1bf1b9266f73,5.063695851225743,12.707582492268086,0.1028393840937985,1,L,31524864,34350080,0.0019351970938022,0.0017760315316678,,,,,,,,300000000,,CURATED,8,1e-15,998000.0,0.57995,0.0959124302417039,base,0.1,constant,0,0.0005,0.0005,1,CURATEDF_seed1_L_base_8
CURATEDF,0.5,0,1,0.0003,423552,5102709,175057,2100684,11.945617880373002,,33.261474609375,399.1376953125,5858.08246227069,0.00035,2.4583120346069336,39.54511404037476,51a86202db31,1bf1b9266f73,11.982954317207335,12.112592628383636,0.0004341443072827,1,L,31524864,34350080,1.2661044162236511e-05,1.1619702059281958e-05,,,,,,,,300000000,,CURATED,8,1e-15,998000.0,0.001935,11.83888933467865,base,0.1,constant,0,0.0005,0.0,1,CURATEDF_seed1_L_base_8
CURATEDF,0.5,0,1,0.0003,956800,11525385,515958,6191496,12.012889022641184,,23.03369140625,276.404296875,3433.4150103909487,0.00035,2.404700994491577,87.34004950523376,51a86202db31,1bf1b9266f73,12.070333597006798,12.019003944683076,0.0002887831955314,1,L,31524864,34350080,8.767818851653095e-06,8.046685680935823e-06,,,,,,,,300000000,,CURATED,8,1e-15,998000.0,0.000115,12.008770929336547,base,0.1,constant,0,0.0005,0.0,1,CURATEDF_seed1_L_base_8
