run,model_size,setting,corpus_type,seed,window,n_facts,frac_stored
RAW_seed2_M_cosine,M,cosine,RAW,2,early_third,2,-0.000244140625
RAW_seed2_M_cosine,M,cosine,RAW,2,last_third,2,0.999755859375
RAW_seed2_S_base,S,base,RAW,2,early_third,2,-0.000244140625
RAW_seed2_S_base,S,base,RAW,2,last_third,2,-0.000244140625
RAW_seed2_S_cosine,S,cosine,RAW,2,early_third,2,-0.000244140625
RAW_seed2_S_cosine,S,cosine,RAW,2,last_third,2,-0.000244140625
RAW_seed3_L_base,L,base,RAW,3,early_third,1,-0.000244140625
RAW_seed3_L_base,L,base,RAW,3,last_third,3,0.6664225260416666
RAW_seed3_M_base,M,base,RAW,3,early_third,1,-0.000244140625
RAW_seed3_M_base,M,base,RAW,3,last_third,3,-0.000244140625
RAW_seed3_S_base,S,base,RAW,3,early_third,1,-0.000244140625
RAW_seed3_S_base,S,base,RAW,3,last_third,3,-0.000244140625
RAW_seed4_L_base,L,base,RAW,4,early_third,4,-0.000244140625
RAW_seed4_L_base,L,base,RAW,4,last_third,5,0.999755859375
RAW_seed4_M_base,M,base,RAW,4,early_third,4,-0.000244140625
RAW_seed4_M_base,M,base,RAW,4,last_third,5,0.999755859375
RAW_seed4_S_base,S,base,RAW,4,early_third,4,-0.000244140625
RAW_seed4_S_base,S,base,RAW,4,last_third,5,0.599755859375
RAW_seed5_L_base,L,base,RAW,5,early_third,5,-0.000244140625
RAW_seed5_L_base,L,base,RAW,5,last_third,4,0.999755859375
RAW_seed5_M_base,M,base,RAW,5,early_third,5,-0.000244140625
RAW_seed5_M_base,M,base,RAW,5,last_third,4,0.499755859375
RAW_seed5_S_base,S,base,RAW,5,early_third,5,-0.000244140625
RAW_seed5_S_base,S,base,RAW,5,last_third,4,-0.000244140625
